Date,NO2,PM10,PM25,AQI,Dominant_pollutant
2022-05-01,11.26,21.06,12.05,34.696,PM10
2022-05-02,27.79,26.66,13.86,43.656000000000006,PM10
2022-05-03,36.01,35.39,11.71,56.468,PM10
2022-05-04,21.38,53.9,14.49,76.872,PM10
2022-05-05,15.25,56.1,16.15,77.928,PM10
2022-05-06,9.33,30.76,10.99,50.912,PM10
2022-05-07,13.79,10.67,6.49,17.8189,PM10
2022-05-08,7.96,13.81,8.36,23.0627,PM10
2022-05-09,17.2,37.5,15.0,59.0,PM10
2022-05-10,13.59,48.88,15.85,72.656,PM10
2022-05-11,17.73,47.35,16.74,70.82,PM10
2022-05-12,11.15,61.48,21.76,80.5104,PM10
2022-05-13,16.45,55.55,19.31,77.664,PM10
2022-05-14,19.34,59.6,17.91,79.608,PM10
2022-05-15,24.55,28.45,10.72,46.519999999999996,PM10
2022-05-16,13.14,34.66,11.9,55.592,PM10
2022-05-17,35.71,45.89,13.81,69.068,PM10
2022-05-18,3.35,31.88,15.34,52.256,PM10
2022-05-19,18.43,36.7,18.26,58.040000000000006,PM10
2022-05-20,9.32,48.57,10.47,72.28399999999999,PM10
2022-05-21,15.95,60.0,12.15,79.8,PM10
2022-05-22,17.26,43.68,14.2,66.416,PM10
2022-05-23,12.56,37.25,14.45,58.7,PM10
2022-05-24,2.78,50.52,15.97,75.2496,PM10
2022-05-25,3.64,55.7,18.98,77.736,PM10
2022-05-26,5.29,67.54,18.33,83.4192,PM10
2022-05-27,5.92,64.01,15.1,81.7248,PM10
2022-05-28,5.16,57.17,13.56,78.4416,PM10
2022-05-29,2.65,33.69,7.76,54.428,PM10
2022-05-30,3.42,4.0,1.7,6.68,PM10
2022-05-31,4.21,9.83,5.11,16.4161,PM10
2022-06-01,4.67,24.34,12.74,39.944,PM10
2022-06-02,23.35,40.57,15.27,62.684,PM10
2022-06-03,14.08,55.56,15.74,77.6688,PM10
2022-06-04,26.24,42.75,13.2,65.3,PM10
2022-06-05,22.3,23.78,11.03,39.048,PM10
2022-06-06,10.07,27.58,10.47,45.128,PM10
2022-06-07,18.84,27.88,8.05,45.608000000000004,PM10
2022-06-08,10.12,19.4,5.63,32.04,PM10
2022-06-09,11.21,10.32,3.04,17.2344,PM10
2022-06-10,10.38,9.41,2.86,15.714699999999999,PM10
2022-06-11,16.36,13.18,4.5,22.0106,PM10
2022-06-12,22.5,14.4,7.32,24.048,PM10
2022-06-13,20.98,16.35,8.82,27.160000000000004,PM10
2022-06-14,22.2,40.2,11.13,62.24,PM10
2022-06-15,17.89,48.21,11.47,71.852,PM10
2022-06-16,11.46,28.32,9.09,46.312,PM10
2022-06-17,21.41,35.46,11.54,56.552,PM10
2022-06-18,12.0,39.61,12.72,61.532,PM10
2022-06-19,5.28,18.65,9.98,30.839999999999996,PM10
2022-06-20,3.77,24.3,12.62,39.88,PM10
2022-06-21,7.04,38.17,13.86,59.804,PM10
2022-06-22,7.16,42.4,14.54,64.88,PM10
2022-06-23,5.88,33.5,15.5,54.2,PM10
2022-06-24,4.57,47.94,20.02,71.52799999999999,PM10
2022-06-25,4.05,38.37,15.63,60.044,PM10
2022-06-26,3.85,16.8,8.18,27.880000000000003,PM10
2022-06-27,6.53,21.42,8.62,35.272000000000006,PM10
2022-06-28,8.34,36.57,10.27,57.884,PM10
2022-06-29,5.74,56.34,17.44,78.0432,PM10
2022-06-30,13.42,45.47,15.17,68.564,PM10
2022-07-01,10.03,71.03,18.45,85.09440000000001,PM10
2022-07-02,18.87,85.23,23.01,91.91040000000001,PM10
2022-07-03,13.6,35.88,11.78,57.056000000000004,PM10
2022-07-04,17.29,37.26,12.66,58.711999999999996,PM10
2022-07-05,24.91,61.22,17.48,80.3856,PM10
2022-07-06,9.31,42.89,10.86,65.468,PM10
2022-07-07,16.43,51.65,12.02,75.792,PM10
2022-07-08,4.63,40.53,8.07,62.636,PM10
2022-07-09,11.09,28.11,5.82,45.976,PM10
2022-07-10,5.81,21.48,7.24,35.368,PM10
2022-07-11,14.94,22.12,5.83,36.392,PM10
2022-07-12,24.03,36.99,7.82,58.388000000000005,PM10
2022-07-13,18.78,26.16,5.52,42.856,PM10
2022-07-14,24.56,16.6,5.26,27.560000000000002,PM10
2022-07-15,15.21,23.97,7.33,39.352,PM10
2022-07-16,24.02,29.69,8.97,48.504000000000005,PM10
2022-07-17,10.96,31.52,11.28,51.824,PM10
2022-07-18,24.45,27.7,8.59,45.32,PM10
2022-07-19,19.55,35.49,8.25,56.588,PM10
2022-07-20,23.19,40.66,8.36,62.791999999999994,PM10
2022-07-21,46.06,37.49,9.63,58.988,PM10
2022-07-22,31.08,42.89,20.94,65.468,PM10
2022-07-23,17.76,49.15,26.54,72.97999999999999,PM10
2022-07-24,13.74,30.26,13.48,50.312000000000005,PM10
2022-07-25,16.79,27.32,12.73,44.712,PM10
2022-07-26,21.75,35.21,14.54,56.252,PM10
2022-07-27,17.8,45.39,12.41,68.468,PM10
2022-07-28,16.83,49.6,13.18,73.52,PM10
2022-07-29,28.55,55.9,15.13,77.832,PM10
2022-07-30,20.92,43.82,13.05,66.584,PM10
2022-07-31,16.49,9.96,5.69,16.633200000000002,PM10
2022-08-01,23.43,17.74,6.34,29.383999999999997,PM10
2022-08-02,34.06,29.09,7.74,47.544,PM10
2022-08-03,13.19,26.16,7.53,42.856,PM10
2022-08-04,24.14,36.25,9.4,57.5,PM10
2022-08-05,33.47,37.86,9.93,59.432,PM10
2022-08-06,36.32,29.46,12.18,48.136,PM10
2022-08-07,8.16,28.47,13.08,46.552,PM10
2022-08-08,13.45,31.69,10.33,52.028,PM10
2022-08-09,11.03,49.85,13.79,73.82,PM10
2022-08-10,6.4,56.69,14.39,78.2112,PM10
2022-08-11,6.72,61.03,18.02,80.2944,PM10
2022-08-12,14.65,75.11,15.26,87.0528,PM10
2022-08-13,9.3,53.13,13.64,76.5024,PM10
2022-08-14,15.83,26.48,7.7,43.368,PM10
2022-08-15,11.06,17.04,7.57,28.264,PM10
2022-08-16,11.93,14.52,8.34,24.248399999999997,PM10
2022-08-17,10.01,27.71,12.61,45.336,PM10
2022-08-18,21.08,62.34,16.62,80.92320000000001,PM10
2022-08-19,18.47,49.1,14.17,72.92,PM10
2022-08-20,17.8,12.22,5.4,20.4074,PM10
2022-08-21,24.01,11.29,4.57,18.8543,PM10
2022-08-22,29.52,11.87,3.64,19.822899999999997,PM10
2022-08-23,15.08,19.64,5.07,32.424,PM10
2022-08-24,14.05,37.96,6.75,59.552,PM10
2022-08-25,24.92,60.81,13.09,80.1888,PM10
2022-08-26,19.76,40.53,14.38,62.636,PM10
2022-08-27,16.89,40.52,18.45,62.624,PM10
2022-08-28,11.54,34.38,14.11,55.256,PM10
2022-08-29,27.14,32.93,10.4,53.516,PM10
2022-08-30,20.42,31.85,9.4,52.22,PM10
2022-08-31,21.33,28.76,8.78,47.016000000000005,PM10
2022-09-01,12.06,36.13,9.75,57.356,PM10
2022-09-02,15.34,45.05,9.62,68.06,PM10
2022-09-03,6.21,32.73,7.72,53.275999999999996,PM10
2022-09-04,6.2,18.15,5.16,30.04,PM10
2022-09-05,27.89,14.81,6.84,24.7327,PM10
2022-09-06,17.4,22.73,8.54,37.368,PM10
2022-09-07,11.57,33.6,9.07,54.32,PM10
2022-09-08,3.57,34.66,10.08,55.592,PM10
2022-09-09,8.05,25.07,9.86,41.112,PM10
2022-09-10,16.06,12.54,6.02,20.941799999999997,PM10
2022-09-11,11.48,7.4,3.74,12.358,PM10
2022-09-12,19.0,6.09,1.87,10.1703,PM10
2022-09-13,13.35,8.9,2.21,14.863,PM10
2022-09-14,3.05,8.28,2.77,13.827599999999999,PM10
2022-09-15,3.18,16.23,7.7,26.968,PM10
2022-09-16,4.64,25.85,12.2,42.36,PM10
2022-09-17,11.48,13.44,6.23,22.444799999999997,PM10
2022-09-18,6.14,3.73,1.61,6.2291,PM10
2022-09-19,20.2,7.67,2.62,12.8089,PM10
2022-09-20,17.72,10.15,2.66,16.950499999999998,PM10
2022-09-21,7.15,10.08,2.15,16.8336,PM10
2022-09-22,13.96,11.03,2.77,18.420099999999998,PM10
2022-09-23,18.71,10.2,3.37,17.034,PM10
2022-09-24,6.07,8.12,3.7,13.560399999999998,PM10
2022-09-25,2.55,8.48,4.6,14.1616,PM10
2022-09-26,20.04,9.64,6.11,16.0988,PM10
2022-09-27,5.67,10.02,6.24,16.7334,PM10
2022-09-28,5.6,9.75,4.38,16.2825,PM10
2022-09-29,3.32,10.54,5.31,17.601799999999997,PM10
2022-09-30,6.14,7.4,3.39,12.358,PM10
2022-10-01,10.8,6.87,3.47,11.4729,PM10
2022-10-02,4.06,8.03,4.47,13.410099999999998,PM10
2022-10-03,12.64,8.49,4.21,14.1783,PM10
2022-10-04,17.34,8.16,4.01,13.6272,PM10
2022-10-05,16.95,8.82,4.02,14.7294,PM10
2022-10-06,23.15,10.87,5.26,18.1529,PM10
2022-10-07,22.07,15.22,7.3,25.352,PM10
2022-10-08,12.08,17.5,7.89,29.0,PM10
2022-10-09,8.69,16.85,9.64,27.96,PM10
2022-10-10,22.29,22.5,11.9,37.0,PM10
2022-10-11,22.81,26.78,17.15,43.848,PM10
2022-10-12,22.99,29.2,15.22,47.72,PM10
2022-10-13,15.69,33.95,20.52,54.74,PM10
2022-10-14,28.2,39.31,28.18,69.632,PM25
2022-10-15,9.6,40.19,29.13,71.91199999999999,PM25
2022-10-16,5.36,35.82,19.17,56.984,PM10
2022-10-17,20.32,37.37,25.3,62.72,PM25
2022-10-18,19.94,49.29,41.84,84.47200000000001,PM25
2022-10-19,23.46,46.27,35.83,79.664,PM25
2022-10-20,22.6,28.74,15.31,46.983999999999995,PM10
2022-10-21,8.91,17.87,10.73,29.592000000000002,PM10
2022-10-22,3.88,13.95,9.24,23.296499999999998,PM10
2022-10-23,6.07,23.81,15.43,39.096,PM10
2022-10-24,3.94,24.78,16.61,40.864,PM25
2022-10-25,5.85,26.61,16.65,43.576,PM10
2022-10-26,28.86,26.92,15.9,44.072,PM10
2022-10-27,25.73,27.63,15.78,45.208,PM10
2022-10-28,23.98,23.66,14.54,38.856,PM10
2022-10-29,23.35,21.15,13.69,34.839999999999996,PM10
2022-10-30,30.77,30.04,21.68,54.032,PM25
2022-10-31,36.09,32.47,21.69,54.056000000000004,PM25
2022-11-01,10.77,37.5,28.44,70.256,PM25
2022-11-02,23.82,43.38,34.47,78.576,PM25
2022-11-03,21.38,30.93,20.73,51.752,PM25
2022-11-04,9.38,20.77,13.21,34.232,PM10
2022-11-05,5.07,8.95,4.41,14.946499999999999,PM10
2022-11-06,6.34,4.18,2.45,6.980599999999999,PM10
2022-11-07,24.43,9.14,6.01,15.2638,PM10
2022-11-08,43.73,16.65,12.48,30.952,PM25
2022-11-09,8.29,21.44,17.89,43.936,PM25
2022-11-10,10.49,9.28,6.37,15.925,PM25
2022-11-11,9.05,6.65,4.07,11.1055,PM10
2022-11-12,38.57,7.28,4.27,19.285,NO2
2022-11-13,3.79,10.54,7.74,19.35,PM25
2022-11-14,25.4,9.88,7.55,18.875,PM25
2022-11-15,33.98,11.94,9.47,23.675,PM25
2022-11-16,15.54,10.43,8.09,20.225,PM25
2022-11-17,7.77,10.87,8.14,20.35,PM25
2022-11-18,10.68,11.04,7.54,18.85,PM25
2022-11-19,5.49,8.8,6.05,15.125,PM25
2022-11-20,11.37,3.11,1.61,5.685,NO2
2022-11-21,26.66,8.89,4.4,14.846300000000001,PM10
2022-11-22,5.12,10.64,6.11,17.7688,PM10
2022-11-23,20.89,6.94,3.29,11.5898,PM10
2022-11-24,21.53,8.09,4.92,13.510299999999999,PM10
2022-11-25,19.75,8.99,7.37,18.425,PM25
2022-11-26,4.54,7.66,5.49,13.725000000000001,PM25
2022-11-27,4.89,5.95,4.36,10.9,PM25
2022-11-28,21.67,10.12,7.14,17.849999999999998,PM25
2022-11-29,16.55,22.02,12.4,36.232,PM10
2022-11-30,15.27,19.14,10.04,31.624000000000002,PM10
2022-12-01,11.07,10.37,4.02,17.317899999999998,PM10
2022-12-02,10.64,5.63,2.34,9.402099999999999,PM10
2022-12-03,5.21,5.69,4.53,11.325000000000001,PM25
2022-12-04,5.52,7.21,4.88,12.2,PM25
2022-12-05,5.31,11.78,6.65,19.6726,PM10
2022-12-06,20.97,16.61,11.14,27.736,PM25
2022-12-07,20.83,23.67,19.83,48.592,PM25
2022-12-08,29.86,13.81,10.01,25.024,PM25
2022-12-09,12.01,16.7,11.8,29.32,PM25
2022-12-10,16.14,17.9,11.91,29.639999999999997,PM10
2022-12-11,7.6,5.31,3.75,9.375,PM25
2022-12-12,23.44,6.73,4.36,11.72,NO2
2022-12-13,15.76,11.52,7.35,19.2384,PM10
2022-12-14,25.3,19.46,10.12,32.136,PM10
2022-12-15,11.83,20.94,12.36,34.504000000000005,PM10
2022-12-16,37.8,11.38,8.32,20.8,PM25
2022-12-17,29.25,16.16,14.14,34.936,PM25
2022-12-18,8.63,9.6,7.98,19.950000000000003,PM25
2022-12-19,27.92,21.78,17.3,42.519999999999996,PM25
2022-12-20,15.84,32.0,26.97,66.728,PM25
2022-12-21,31.31,41.57,37.25,80.8,PM25
2022-12-22,31.82,53.5,49.29,90.432,PM25
2022-12-23,25.98,51.0,47.99,89.392,PM25
2022-12-24,23.65,43.9,40.78,83.624,PM25
2022-12-25,19.54,26.2,24.02,59.647999999999996,PM25
2022-12-26,16.06,35.95,33.61,77.888,PM25
2022-12-27,24.99,34.08,31.1,75.88,PM25
2022-12-28,26.52,29.68,23.57,58.568,PM25
2022-12-29,15.8,32.16,27.18,67.232,PM25
2022-12-30,12.9,18.64,14.54,35.896,PM25
2022-12-31,20.15,27.18,22.83,56.791999999999994,PM25
2023-01-01,23.31,50.44,46.89,88.512,PM25
2023-01-02,16.99,44.28,39.53,82.624,PM25
2023-01-03,27.34,40.82,34.1,78.28,PM25
2023-01-04,24.63,38.78,32.46,76.968,PM25
2023-01-05,10.33,26.43,22.48,55.952,PM25
2023-01-06,6.96,25.76,21.69,54.056000000000004,PM25
2023-01-07,16.24,32.18,29.0,71.6,PM25
2023-01-08,5.6,33.32,30.99,75.792,PM25
2023-01-09,7.5,14.41,10.17,25.408,PM25
2023-01-10,29.88,9.92,7.06,17.65,PM25
2023-01-11,28.2,15.66,10.62,26.488,PM25
2023-01-12,36.26,15.96,11.57,28.768,PM25
2023-01-13,24.04,14.44,11.19,27.855999999999998,PM25
2023-01-14,25.01,16.69,13.78,34.071999999999996,PM25
2023-01-15,16.79,16.05,13.6,33.64,PM25
2023-01-16,6.8,16.5,12.0,29.8,PM25
2023-01-17,15.68,11.61,7.86,19.650000000000002,PM25
2023-01-18,25.4,7.48,5.07,12.7,NO2
2023-01-19,17.12,7.37,5.87,14.675,PM25
2023-01-20,5.72,4.25,2.88,7.199999999999999,PM25
2023-01-21,4.29,6.46,4.3,10.7882,PM10
2023-01-22,3.54,5.82,3.02,9.7194,PM10
2023-01-23,5.4,4.1,2.58,6.8469999999999995,PM10
2023-01-24,8.17,4.89,2.87,8.1663,PM10
2023-01-25,6.94,7.03,4.14,11.7401,PM10
2023-01-26,14.9,13.75,9.4,23.5,PM25
2023-01-27,3.2,14.04,8.9,23.446799999999996,PM10
2023-01-28,5.29,13.67,10.74,26.776,PM25
2023-01-29,8.67,13.7,12.34,30.616,PM25
2023-01-30,29.62,22.59,19.58,47.99199999999999,PM25
2023-01-31,22.9,46.71,42.7,85.16,PM25
2023-02-01,29.93,46.27,43.43,85.744,PM25
2023-02-02,19.08,62.74,59.08,98.264,PM25
2023-02-03,16.21,57.43,53.53,93.824,PM25
2023-02-04,17.74,41.57,37.43,80.944,PM25
2023-02-05,4.53,13.55,9.38,23.450000000000003,PM25
2023-02-06,7.01,10.33,5.37,17.2511,PM10
2023-02-07,16.47,17.87,9.92,29.592000000000002,PM10
2023-02-08,11.01,26.12,15.86,42.792,PM10
2023-02-09,18.68,30.68,19.71,50.816,PM10
2023-02-10,24.61,28.15,19.6,48.040000000000006,PM25
2023-02-11,29.86,22.23,15.61,38.464,PM25
2023-02-12,26.44,29.87,25.88,64.112,PM25
2023-02-13,30.32,15.07,11.18,27.832,PM25
2023-02-14,35.38,21.89,16.68,41.032,PM25
2023-02-15,29.07,41.46,35.71,79.568,PM25
2023-02-16,15.16,52.55,47.75,89.2,PM25
2023-02-17,10.63,41.46,38.63,81.904,PM25
2023-02-18,10.04,62.46,58.62,97.896,PM25
2023-02-19,19.22,27.06,24.01,59.624,PM25
2023-02-20,23.28,19.84,15.35,37.839999999999996,PM25
2023-02-21,22.73,36.15,31.25,76.0,PM25
2023-02-22,25.52,40.74,35.56,79.44800000000001,PM25
2023-02-23,18.29,36.5,31.62,76.296,PM25
2023-02-24,9.65,28.04,24.21,60.104,PM25
2023-02-25,6.36,30.78,23.47,58.327999999999996,PM25
2023-02-26,7.21,18.01,11.81,29.816000000000003,PM10
2023-02-27,7.78,6.7,3.34,11.189,PM10
2023-02-28,16.24,12.71,6.8,21.2257,PM10
2023-03-01,8.1,19.75,9.5,32.6,PM10
2023-03-02,11.94,10.99,4.42,18.3533,PM10
2023-03-03,18.44,16.0,7.5,26.6,PM10
2023-03-04,34.85,25.78,14.62,42.248000000000005,PM10
2023-03-05,12.59,26.34,18.94,46.456,PM25
2023-03-06,10.72,21.94,15.72,38.728,PM25
2023-03-07,8.83,15.16,10.26,25.624,PM25
2023-03-08,34.78,13.87,8.17,23.162899999999997,PM10
2023-03-09,4.54,11.18,6.77,18.6706,PM10
2023-03-10,6.52,11.55,7.46,19.2885,PM10
2023-03-11,21.4,14.48,8.23,24.1816,PM10
2023-03-12,17.5,8.91,5.12,14.8797,PM10
2023-03-13,8.77,7.77,5.33,13.325,PM25
2023-03-14,3.28,10.74,6.65,17.9358,PM10
2023-03-15,11.18,10.28,6.59,17.167599999999997,PM10
2023-03-16,23.0,7.22,3.46,12.0574,PM10
2023-03-17,32.07,13.21,7.1,22.0607,PM10
2023-03-18,27.34,13.73,9.57,23.925,PM25
2023-03-19,12.99,11.48,9.12,22.799999999999997,PM25
2023-03-20,36.24,7.5,6.06,18.12,NO2
2023-03-21,24.64,18.06,14.88,36.712,PM25
2023-03-22,31.28,23.79,17.99,44.175999999999995,PM25
2023-03-23,9.13,31.43,25.74,63.775999999999996,PM25
2023-03-24,6.83,23.92,20.83,51.992,PM25
2023-03-25,5.24,14.71,10.97,27.328000000000003,PM25
2023-03-26,4.85,9.48,5.46,15.8316,PM10
2023-03-27,18.25,9.28,4.69,15.497599999999998,PM10
2023-03-28,26.23,8.67,2.9,14.4789,PM10
2023-03-29,9.07,9.47,4.93,15.8149,PM10
2023-03-30,5.78,10.1,5.86,16.866999999999997,PM10
2023-03-31,3.39,12.29,7.07,20.524299999999997,PM10
2023-04-01,10.76,21.5,14.9,36.76,PM25
2023-04-02,13.36,32.72,27.43,67.832,PM25
2023-04-03,5.06,12.25,5.29,20.4575,PM10
2023-04-04,6.75,16.66,5.99,27.656,PM10
2023-04-05,11.37,14.82,7.34,24.749399999999998,PM10
2023-04-06,27.46,17.83,10.06,29.528,PM10
2023-04-07,35.05,24.68,14.88,40.488,PM10
2023-04-08,16.07,16.52,10.87,27.432,PM10
2023-04-09,5.02,11.59,8.57,21.425,PM25
2023-04-10,23.95,8.23,6.22,15.549999999999999,PM25
2023-04-11,24.5,13.35,8.86,22.2945,PM10
2023-04-12,4.18,19.51,9.96,32.216,PM10
2023-04-13,5.41,22.86,9.25,37.576,PM10
2023-04-14,6.28,14.52,5.36,24.248399999999997,PM10
2023-04-15,2.71,5.72,2.83,9.552399999999999,PM10
2023-04-16,7.67,5.27,2.78,8.800899999999999,PM10
2023-04-17,8.5,8.82,3.59,14.7294,PM10
2023-04-18,9.42,14.62,6.79,24.415399999999998,PM10
2023-04-19,34.49,10.84,4.83,18.1028,PM10
2023-04-20,8.09,13.05,7.66,21.7935,PM10
2023-04-21,45.7,12.17,7.05,22.85,NO2
2023-04-22,43.87,17.61,11.92,29.608,PM25
2023-04-23,16.98,15.69,11.66,28.984,PM25
2023-04-24,9.02,13.86,10.09,25.216,PM25
2023-04-25,20.72,7.65,4.27,12.7755,PM10
2023-04-26,24.18,6.22,3.19,12.09,NO2
2023-04-27,38.89,9.46,4.5,19.445,NO2
2023-04-28,25.22,8.25,4.38,13.7775,PM10
2023-04-29,6.33,7.49,4.78,12.5083,PM10
2023-04-30,8.38,9.3,6.5,16.25,PM25
2023-05-01,5.33,8.34,5.25,13.9278,PM10
